rank,CONS_NO,risk_score,actual_theft
1,C01075,0.9275890099716488,1
2,C00542,0.9247866255492708,1
3,C00071,0.9208097559514314,1
4,C00358,0.9167608895052467,1
5,C00612,0.9167341546427135,1
6,C00471,0.9146758165655776,1
7,C00243,0.9145056183055391,1
8,C00630,0.9142721826019267,1
9,C00025,0.913931306893527,1
10,C00290,0.9111960918235091,1
11,C01181,0.9099012812223215,1
12,C01102,0.9094292017765877,1
13,C00206,0.9074445615276648,1
14,C01147,0.8992733728651312,1
15,C00730,0.8916697025299072,1
16,C00891,0.8905021756887436,1
17,C00081,0.8867542386054993,1
18,C00958,0.8795604109764099,1
19,C00800,0.8640757104478989,1
20,C01027,0.821590331923922,1
21,C00051,0.806717262417078,1
22,C01114,0.786186898769365,1
23,C00303,0.7828794980885265,1
24,C00192,0.7825949574893578,1
25,C01143,0.7792237760170984,1
26,C01187,0.779141336365726,1
27,C00527,0.776990135073973,1
28,C00377,0.7744099693894235,1
29,C00535,0.6195083014452882,0
30,C01002,0.4567021387749581,0
31,C00797,0.39244839931605696,0
32,C00113,0.3271133390914749,0
33,C00784,0.31252475019542836,0
34,C00238,0.26836670191029616,0
35,C00287,0.2627433047221945,0
36,C00832,0.2583708209250749,0
37,C00809,0.24537083156133638,0
38,C00928,0.23614070190484854,0
39,C00713,0.233333050285725,0
40,C01194,0.2320938792073235,0
41,C00002,0.2314122047161673,0
42,C00529,0.2305552037321066,0
43,C00718,0.23033592188452948,0
44,C01192,0.22736120120538383,0
45,C00830,0.22300461204644598,0
46,C00957,0.22220007761036195,0
47,C00446,0.21660612290722053,0
48,C01034,0.2151124722279542,0
49,C00455,0.2146779582741897,0
50,C01183,0.2136891586578776,0
51,C00955,0.21300719354090086,0
52,C00999,0.21241087679567716,1
53,C00879,0.21039116126568336,0
54,C00948,0.21038154044827023,0
55,C00255,0.21013966814165358,0
56,C00150,0.2096322657541117,0
57,C00902,0.2087218283145153,0
58,C00295,0.20675413946964735,0
59,C00242,0.20626010779245366,0
60,C00728,0.20598278161913,0
61,C00035,0.20437087011594263,0
62,C01100,0.20401810343561735,0
63,C00162,0.20253715298834699,0
64,C00263,0.20120792017133649,0
65,C00744,0.201189996682811,0
66,C01052,0.2008183678609042,0
67,C00030,0.20018665511013234,1
68,C00908,0.20017109718688053,0
69,C00951,0.1993717968772671,0
70,C00010,0.19732565774189725,1
71,C00116,0.19593239874498442,0
72,C00345,0.19525478836015153,0
73,C00131,0.19473082130993685,0
74,C00440,0.19467654583119492,0
75,C00042,0.1921710465109693,0
76,C01053,0.18889218850628628,0
77,C00801,0.18833648085227495,0
78,C00397,0.18759553198147647,0
79,C00992,0.18753171009216807,0
80,C00742,0.18635362450810147,0
81,C00195,0.18535870363595996,0
82,C01021,0.1850319365271054,0
83,C00258,0.18459556502014954,0
84,C01042,0.18439242971740652,0
85,C00367,0.1840679538495517,0
86,C01118,0.1827658915139655,0
87,C00305,0.1827307354400196,1
88,C01170,0.18108335250949603,0
89,C00404,0.1810596015612814,0
90,C00063,0.18076890726966463,0
91,C00244,0.18069811835155283,0
92,C00978,0.18036081179056956,0
93,C01051,0.17971499968485052,0
94,C01198,0.17931121456937618,0
95,C00140,0.17926888839342459,0
96,C00512,0.178371665742776,0
97,C00821,0.17809590820216517,0
98,C00406,0.1779050252331394,0
99,C01112,0.17776260119972723,0
100,C00103,0.17771910344936637,0
101,C00604,0.17631201625234016,0
102,C01121,0.1759891987281862,0
103,C00827,0.1755357778819857,0
104,C00654,0.17526444562762752,0
105,C00869,0.17419922518943362,0
106,C00850,0.17398701501766028,0
107,C00984,0.1727594156427,0
108,C00579,0.17139582974744907,0
109,C01103,0.1711670718098293,0
110,C01011,0.17059716804759428,0
111,C00934,0.16982510309090612,0
112,C00761,0.16878272966373042,0
113,C00098,0.16852513124671786,0
114,C01087,0.16815467324481428,0
115,C00743,0.168097242496113,0
116,C01109,0.16737063057731305,0
117,C00789,0.16625819050059507,0
118,C00049,0.1658343220785238,0
119,C00956,0.16492931391649843,0
120,C00547,0.1639978244790021,0
121,C01063,0.1626750871283303,0
122,C00669,0.16256797416747554,0
123,C00462,0.16207899235979698,0
124,C00884,0.16071522968429702,1
125,C00294,0.16009321907938773,0
126,C00921,0.15948331641411048,0
127,C01077,0.15837636712063427,0
128,C00541,0.15801405178754518,0
129,C00553,0.15790146603052985,0
130,C00210,0.15758320498351422,1
131,C01160,0.15706000389870148,0
132,C00922,0.15569965353737714,0
133,C00417,0.15528927351620658,0
134,C00739,0.1547501285998859,0
135,C00576,0.15332185831188977,0
136,C00738,0.1509152172380604,0
137,C00590,0.1503049068454307,0
138,C00438,0.1487466837860997,0
139,C00487,0.1486115567954425,0
140,C00745,0.14749643137515556,0
141,C00005,0.1470682550038297,0
142,C00643,0.14649268006228847,0
143,C00779,0.14595774783405874,0
144,C00395,0.14530679563537088,0
145,C00571,0.14502953885852599,0
146,C00536,0.14434293285858346,0
147,C01048,0.14353715885430166,0
148,C00370,0.1432216704736271,0
149,C01085,0.14267361263215292,0
150,C00387,0.1388914936708783,0
151,C00736,0.13813416502810824,0
152,C00173,0.13734130683253382,1
153,C00734,0.13715619381709085,0
154,C00910,0.13619058596629796,0
155,C00920,0.13575838097339463,0
156,C00473,0.13489040929759452,1
157,C00040,0.13170315648470846,0
158,C00587,0.12999335979680632,0
159,C00609,0.12928443541750312,0
160,C00256,0.1288961411065512,0
161,C00798,0.12854254885662075,0
162,C00772,0.12787577209232112,0
163,C00562,0.12778464783877685,0
164,C01171,0.12650646741923416,0
165,C00451,0.12398087986748446,0
166,C00774,0.12254346852934139,0
167,C00283,0.12241023439977305,0
168,C00199,0.12007029846980694,0
169,C00271,0.11878006693410653,0
170,C00653,0.11851317790189346,0
171,C00043,0.11850164663418267,0
172,C00441,0.11738469531327515,0
173,C00149,0.11684439543168992,0
174,C01056,0.11621752920182704,0
175,C00666,0.11522496240213513,0
176,C00282,0.11450909888371825,0
177,C00706,0.11323548089749971,0
178,C01111,0.11319445027169694,0
179,C00314,0.11260431699201069,0
180,C00027,0.11231569732671448,0
181,C00592,0.10927666638324775,0
182,C00652,0.10889682931505691,0
183,C00217,0.10844307485967875,0
184,C01001,0.10603748561698012,0
185,C01151,0.1014527102702923,0
186,C00885,0.09334359155618585,0
187,C00448,0.08749251934787025,0
188,C01099,0.08724033597322009,0
189,C00186,0.08480623647365426,0
190,C01188,0.08061440663877875,0
191,C00550,0.0774198139377404,0
192,C01168,0.07604642009246163,0
193,C00078,0.07076690987576027,0
194,C00993,0.06960963293544896,0
195,C00017,0.06424707198457327,0
196,C00646,0.06307391366181413,0
197,C00449,0.0625032831428833,0
198,C00273,0.06148920475970954,0
199,C00959,0.0614846849955815,0
200,C00466,0.061345079452378076,0
201,C00966,0.05977600052869706,0
202,C01047,0.05879176817834377,0
203,C01184,0.0576181417863025,0
204,C00645,0.05760751133578243,0
205,C01015,0.05729878925672284,0
206,C00183,0.05699477095885257,0
207,C00317,0.05600302474966702,0
208,C00838,0.0535320240072906,0
209,C00105,0.05225265032235947,0
210,C00302,0.05011489968164824,0
211,C00465,0.049273242492927236,0
212,C00946,0.048125375087239124,0
213,C01122,0.04762250250205398,0
214,C00528,0.047564950006703535,0
215,C00509,0.046750179538503286,0
216,C00402,0.046707578119821846,0
217,C00888,0.046696581902403375,0
218,C00907,0.045836201938800517,0
219,C00655,0.04544577335067533,0
220,C00498,0.04539486663416028,0
221,C00018,0.04538628996815532,0
222,C00693,0.044439955009147526,0
223,C00880,0.044256056752055885,0
224,C01138,0.04416565922773763,0
225,C00484,0.043997079879045484,0
226,C00829,0.04399700939511676,0
227,C00854,0.04388274037628435,0
228,C00320,0.04374040719121695,0
229,C00236,0.043625491484999654,0
230,C00983,0.04277757231611758,0
231,C00188,0.04271821503061801,0
232,C00997,0.04201286947681948,0
233,C00024,0.0419935458805412,0
234,C00157,0.04196046125143767,0
235,C00931,0.04166912797372788,0
236,C01070,0.04123670819854019,0
237,C00223,0.04117483047985667,0
238,C00467,0.04100442592884379,0
239,C00802,0.04097085953730661,0
240,C00584,0.040611518571765884,0
241,C00752,0.040117847733199596,0
242,C00721,0.03970094843100406,0
243,C00937,0.03969091393655097,0
244,C00977,0.039615123842220844,0
245,C01132,0.03956275215120636,0
246,C00634,0.03950342403941983,0
247,C00239,0.03949472599197179,0
248,C00274,0.03945976439863443,0
